location_name,cause_name,measure,number_change_1990_2019,age_structure_contribution,age_structure_contribution_Q1,age_structure_contribution_Q3,population_size_contribution,population_size_contribution_Q1,population_size_contribution_Q3,all_other_reasons_contribution,all_other_reasons_contribution_Q1,all_other_reasons_contribution_Q3,number_attributed_to_age_structure,number_attributed_to_age_structure_Q1,number_attributed_to_age_structure_Q3,number_attributed_to_population_size,number_attributed_to_population_size_Q1,number_attributed_to_population_size_Q3,number_attributed_to_all_other_reasons,number_attributed_to_all_other_reasons_Q1,number_attributed_to_all_other_reasons_Q3
Armenia,All causes,DALYs,-223769.1,-2.7,-27.2,6.5,41.1,36.5,43.5,61.5,56.9,83.7,5967.7,-14643.1,60764.3,-92027.7,-81747.1,-97338,-137709.2,-127378.9,-187195.4
Armenia,"Communicable, maternal, neonatal, and nutritional diseases",DALYs,-208854.3,32.2,31.6,32.8,29.9,29.6,30.2,37.9,36.9,38.8,-67190.6,-65944.9,-68582.3,-62448.6,-61869.3,-63135.2,-79215.1,-77136.8,-81040.1
Armenia,HIV/AIDS and sexually transmitted infections,DALYs,701.2,17.7,-89.8,92.7,-85.3,-895.3,476.3,167.6,-469,1085,123.9,-629.5,649.9,-598.2,-6277.5,3339.9,1175.4,-3288.6,7608.2
Armenia,Respiratory infections and tuberculosis,DALYs,-76737.9,32,31.4,32.5,30.3,30,30.5,37.7,37,38.6,-24536,-24089.1,-24966.3,-23254.6,-23035.9,-23381.2,-28947.4,-28390.4,-29612.9
Armenia,Enteric infections,DALYs,-31720.9,32,31.5,32.4,30.2,29.8,30.5,37.8,37,38.7,-10148.7,-10007.7,-10293,-9585.6,-9441.4,-9688.9,-11986.6,-11739,-12271.7
Armenia,Neglected tropical diseases and malaria,DALYs,-655.9,46.9,45.2,49,30.8,30.1,32.3,22.3,20.9,22.5,-307.7,-296.5,-321.5,-202.3,-197.5,-211.8,-146,-136.8,-147.6
Armenia,Maternal and neonatal disorders,DALYs,-91266.4,33,32.3,33.6,30.1,29.7,30.1,37,36.3,37.9,-30083.1,-29508.5,-30645.1,-27436.2,-27137.8,-27490.4,-33747,-33130.9,-34620.1
Armenia,Nutritional deficiencies,DALYs,-6865.5,101.8,324.6,60.2,72.1,181.2,40.5,-74,-0.7,-405.9,-6991.9,-22287.6,-4133,-4952,-12442.3,-2780.1,5078.5,27864.4,47.7
Armenia,Non-communicable diseases,DALYs,80309.1,65.2,58.7,76.9,19.6,10.3,23,15.1,12.9,18.3,52390,47133.1,61733.8,15775.5,18443.3,8246.4,12143.7,10329,14732.8
Armenia,Neoplasms,DALYs,15149.8,107.2,248.4,77.5,1.1,-73,16.3,-8.3,-75.4,6.2,16243.1,11743.9,37631,171.7,-11060.3,2472.2,-1265,-11420.8,933.8
